PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes,GoodRowThemesFormatted
Lr71V,r1b1r1k1/ppp2ppp/3b4/2pP4/2Q5/P1N1B3/1P3PPq/R2R1K2 b - - 1 19,c8g4 c4g4 f7f5 g4h3 h2h3 g2h3,2023,75,91,2085,advantage hangingPiece long middlegame Queen Pawn,https://lichess.org/FS8aijIJ/black#Some(37),Kings_Knight_Opening Kings_Knight_Opening_Normal_Variation,"['advantage', 'hangingPiece', 'middlegame', 'Queen', 'Pawn']",5,"['advantage', 'hangingPiece', 'middlegame', 'Queen', 'Pawn']"
lnaQW,k6r/1p3r2/pPp5/P3Qppq/3Pp3/B3P1P1/1R5P/5RK1 w - - 9 35,f1f5 h5d1 g1g2 h8h2 g2h2 f7h7 h2g2 d1h1 g2f2 h7h2,2014,75,91,1643,attraction discoveredAttack kingsideAttack mate mateIn5 middlegame sacrifice veryLong Queen Rook,https://lichess.org/pkGGeW3I#Some(68),,"['attraction', 'discoveredAttack', 'kingsideAttack', 'mateIn5', 'middlegame', 'sacrifice', 'Queen', 'Rook']",8,"['attraction', 'discoveredAttack', 'kingsideAttack', 'mateIn5', 'middlegame', 'sacrifice', 'Queen', 'Rook']"
QrtFV,r3kb1r/pp1nq1pp/3np3/1N1pN3/Q2P4/8/PP3PPP/R1B1K2R b KQkq - 1 13,d7e5 b5d6 e8d8 d4e5,2007,76,91,2482,crushing doubleCheck intermezzo opening short Knight Pawn,https://lichess.org/XWdy9AYj/black#Some(25),French_Defense French_Defense_Advance_Variation,"['crushing', 'doubleCheck', 'intermezzo', 'opening', 'Knight', 'Pawn']",6,"['crushing', 'doubleCheck', 'intermezzo', 'opening', 'Knight', 'Pawn']"
5V0Kt,r3k2r/1p1bnppp/p1n1p3/q2pP3/P1pP2P1/B1P2N2/2PQBP1P/R3K2R b KQkq - 2 13,a5a4 e1g1 a4a5 a3e7 a5a1 f1a1,2006,75,92,5210,castling crushing long middlegame King Bishop Rook,https://lichess.org/ji2KiBBC/black#Some(25),French_Defense French_Defense_Winawer_Variation,"['castling', 'crushing', 'middlegame', 'King', 'Bishop', 'Rook']",6,"['castling', 'crushing', 'middlegame', 'King', 'Bishop', 'Rook']"
izDCu,2r3rk/4b2p/4p3/p2pPp1Q/3P1B2/2q1P2P/P7/1R4RK b - - 3 29,g8g1 b1g1 c8g8 g1g8 h8g8 h5e8 e7f8 e8e6,1961,76,90,2393,attraction crushing fork middlegame skewer veryLong Rook Queen,https://lichess.org/B91gX47T/black#Some(57),,"['attraction', 'crushing', 'fork', 'middlegame', 'skewer', 'Rook', 'Queen']",7,"['attraction', 'crushing', 'fork', 'middlegame', 'skewer', 'Rook', 'Queen']"
KJcII,4r1k1/5p1p/5Bp1/1pPqp3/1P3R1Q/7P/r4PPK/8 b - - 1 39,e8e6 h4h7 g8h7 f4h4 h7g8 h4h8,1909,78,95,15312,attraction endgame long mate mateIn3 sacrifice Queen Rook,https://lichess.org/8TCvBthw/black#Some(77),,"['attraction', 'endgame', 'mateIn3', 'sacrifice', 'Queen', 'Rook']",6,"['attraction', 'endgame', 'mateIn3', 'sacrifice', 'Queen', 'Rook']"
aq27V,3rr1k1/pp3pp1/1b6/2p2Pp1/3n1P2/3B2P1/PPPB2K1/R6R w - - 0 22,f4g5 d4c2 d3c2 d8d2 g2h3 d2c2,2018,76,95,5440,crushing discoveredAttack fork long middlegame Knight Rook,https://lichess.org/pyiPwBm2#Some(42),,"['crushing', 'discoveredAttack', 'fork', 'middlegame', 'Knight', 'Rook']",6,"['crushing', 'discoveredAttack', 'fork', 'middlegame', 'Knight', 'Rook']"
Ss5PH,2r2rk1/pq1bbppp/1p2p1n1/1Nnp4/1P6/4PN2/PBRPBPPP/1QR3K1 b - - 0 16,c5a4 c2c7 b7b8 c7d7,2019,75,91,1393,advantage interference middlegame short Rook,https://lichess.org/SU4uTfgO/black#Some(31),English_Opening English_Opening_Caro-Kann_Defensive_System,"['advantage', 'interference', 'middlegame', 'Rook']",4,"['advantage', 'interference', 'middlegame', 'Rook']"
dUHpI,3Qr1kb/1b5p/pn2q2B/1pp2B2/8/1PP4P/P4Pp1/3R2K1 b - - 0 33,e6e7 d8e7 e8e7 d1d8 g8f7 d8f8,2003,75,96,9589,clearance kingsideAttack long mate mateIn3 middlegame Queen Rook,https://lichess.org/pi1qXiRa/black#Some(65),,"['clearance', 'kingsideAttack', 'mateIn3', 'middlegame', 'Queen', 'Rook']",6,"['clearance', 'kingsideAttack', 'mateIn3', 'middlegame', 'Queen', 'Rook']"
X2pyF,rn1q1rk1/pb2bppp/1p1p1n2/2pP2B1/2P1p3/2N1PN2/PP2BPPP/R2Q1RK1 w - - 0 11,g5f6 e4f3 f6e7 f3e2,1954,74,95,6587,advancedPawn advantage opening short Pawn,https://lichess.org/QuN6tumm#Some(20),English_Defense English_Defense_Other_variations,"['advancedPawn', 'advantage', 'opening', 'Pawn']",4,"['advancedPawn', 'advantage', 'opening', 'Pawn']"
1SBIw,2k4r/p1q2pp1/2pbp3/6p1/P1BP4/2P2Q1r/5P2/1RB2RK1 w - - 0 24,f3e4 d6h2 g1g2 h3g3 f2g3 c7g3 g2h1 h2g1 e4h7 h8h7,1971,76,94,4125,discoveredAttack kingsideAttack mate mateIn5 middlegame sacrifice veryLong Bishop Rook Queen,https://lichess.org/luf5GBry#Some(46),,"['discoveredAttack', 'kingsideAttack', 'mateIn5', 'middlegame', 'sacrifice', 'Bishop', 'Rook', 'Queen']",8,"['discoveredAttack', 'kingsideAttack', 'mateIn5', 'middlegame', 'sacrifice', 'Bishop', 'Rook', 'Queen']"
0oSXp,r2q1rk1/1p2bppp/pB3n2/3p2N1/6b1/2NQ4/PPP2PPP/3RR1K1 b - - 5 14,d8b6 c3d5 g7g6 d5b6,1948,75,93,1035,crushing fork middlegame short Knight,https://lichess.org/3VKSyV3B/black#Some(27),French_Defense French_Defense_Exchange_Variation,"['crushing', 'fork', 'middlegame', 'Knight']",4,"['crushing', 'fork', 'middlegame', 'Knight']"
U2IDM,6k1/5pp1/3q3p/P7/5P2/5Q1P/2r1p2P/6RK b - - 0 39,d6d1 g1d1 e2d1r f3d1,1924,76,93,5152,crushing endgame short xRayAttack Rook Queen,https://lichess.org/1qNqcKQV/black#Some(77),,"['crushing', 'endgame', 'xRayAttack', 'Rook', 'Queen']",5,"['crushing', 'endgame', 'xRayAttack', 'Rook', 'Queen']"
iSPeT,7k/2q2prn/p4b2/1p6/2p1Q3/P1P2K2/1P3P2/1B5R b - - 2 36,h8g8 e4e8 h7f8 h1h8 g8h8 e8f8 g7g8 f8h6,2025,76,94,10041,attraction deflection mate mateIn4 middlegame sacrifice veryLong Queen Rook,https://lichess.org/0Zc17s12/black#Some(71),,"['attraction', 'deflection', 'mateIn4', 'middlegame', 'sacrifice', 'Queen', 'Rook']",7,"['attraction', 'deflection', 'mateIn4', 'middlegame', 'sacrifice', 'Queen', 'Rook']"
LcR31,r7/1rpkR3/p2n4/5N1p/1PP3p1/P7/6PP/6K1 b - - 1 28,d7c6 f5d4 c6b6 c4c5 b6a7 d4c6,2028,74,95,9016,endgame exposedKing long mate mateIn3 Knight Pawn,https://lichess.org/a3RCrMiA/black#Some(55),,"['endgame', 'exposedKing', 'mateIn3', 'Knight', 'Pawn']",5,"['endgame', 'exposedKing', 'mateIn3', 'Knight', 'Pawn']"
ZoNF8,rnb2rk1/p3ppbp/1p4p1/1Rp5/3PP3/q1P1BN2/P1Q2PPP/4KB1R b K - 5 12,c8a6 e3c1 a3c1 c2c1,1998,74,92,1016,crushing middlegame short trappedPiece Bishop Queen,https://lichess.org/7tz8MsIx/black#Some(23),Grunfeld_Defense Grunfeld_Defense_Exchange_Variation,"['crushing', 'middlegame', 'trappedPiece', 'Bishop', 'Queen']",5,"['crushing', 'middlegame', 'trappedPiece', 'Bishop', 'Queen']"
sujCB,2k3rr/pp3R2/4p1p1/b2pQ3/2p5/7P/PPK1B1q1/1R6 b - - 0 23,h8h3 e5e6 c8b8 e6d6 b8a8 f7f8 g8f8 d6f8 a5d8 f8d8,1924,81,91,142914,backRankMate mate mateIn5 middlegame veryLong Queen Rook,https://lichess.org/75JqfEPA/black#Some(45),,"['mateIn5', 'middlegame', 'Queen', 'Rook']",4,"['mateIn5', 'middlegame', 'Queen', 'Rook']"
4ThzA,6R1/pp1b1p1k/4qP1P/5p1Q/8/8/PP5P/7K b - - 0 29,h7g8 h5g5 g8f8 g5g7 f8e8 g7g8,1956,74,95,7540,endgame long mate mateIn3 Queen,https://lichess.org/iJBk8wUu/black#Some(57),,"['endgame', 'mateIn3', 'Queen']",3,"['endgame', 'mateIn3', 'Queen']"
hz1as,8/kpRR4/8/1r6/7P/p1P5/P1P2r2/2K5 w - - 2 31,c3c4 b5b1 c1b1 f2f1 d7d1 f1d1,1970,76,95,10261,attraction endgame long mate mateIn3 rookEndgame sacrifice Rook,https://lichess.org/8GEeOxNm#Some(60),,"['attraction', 'endgame', 'mateIn3', 'sacrifice', 'Rook']",5,"['attraction', 'endgame', 'mateIn3', 'sacrifice', 'Rook']"
HBE39,8/1p6/p1k1pp2/2P5/PP1K1P2/8/8/8 w - - 1 40,d4e4 a6a5 b4a5 c6c5 a5a6 b7a6,1925,72,94,7767,crushing deflection endgame long pawnEndgame Pawn King,https://lichess.org/BXOQKbtm#Some(78),,"['crushing', 'deflection', 'endgame', 'Pawn', 'King']",5,"['crushing', 'deflection', 'endgame', 'Pawn', 'King']"
xzDQM,r3k2r/p3bppp/2p5/8/2P5/3K4/P4PPP/1RB1R3 w kq - 3 19,c1a3 e8c8 d3c2 e7a3,1935,76,92,3043,castling crushing discoveredAttack endgame short King Bishop,https://lichess.org/hVquIwhr#Some(36),,"['castling', 'crushing', 'discoveredAttack', 'endgame', 'King', 'Bishop']",6,"['castling', 'crushing', 'discoveredAttack', 'endgame', 'King', 'Bishop']"
yWBRb,4RN2/ppp2kp1/2n5/5b2/2n1N1pP/8/PPr3P1/3KR3 b - - 3 29,f7e8 e4d6 e8f8 e1e8,1877,77,96,11931,doubleCheck mate mateIn2 middlegame sacrifice short Knight Rook,https://lichess.org/QmrDT2Gf/black#Some(57),,"['doubleCheck', 'mateIn2', 'middlegame', 'sacrifice', 'Knight', 'Rook']",6,"['doubleCheck', 'mateIn2', 'middlegame', 'sacrifice', 'Knight', 'Rook']"
YHft3,6Q1/8/4p3/8/1PK3k1/2N5/2r5/4q3 b - - 2 51,g4f3 g8f7 f3e3 f7e6 e3f2 e6f5,1880,74,94,1596,crushing endgame interference long Queen,https://lichess.org/RWFwSt1e/black#Some(101),,"['crushing', 'endgame', 'interference', 'Queen']",4,"['crushing', 'endgame', 'interference', 'Queen']"
CnrKb,r2q1b1r/pp2kBp1/7p/2p1P3/3nn1b1/2N5/PPP1N1PP/R1BQ1RK1 w - - 1 13,d1d3 d4e2 c3e2 d8d3 c2d3 g4e2,1930,77,92,1807,advantage capturingDefender discoveredAttack kingsideAttack long middlegame Knight Queen Bishop,https://lichess.org/qiXixvZP#Some(24),Philidor_Defense Philidor_Defense_Other_variations,"['advantage', 'capturingDefender', 'discoveredAttack', 'kingsideAttack', 'middlegame', 'Knight', 'Queen', 'Bishop']",8,"['advantage', 'capturingDefender', 'discoveredAttack', 'kingsideAttack', 'middlegame', 'Knight', 'Queen', 'Bishop']"
B1tJP,4r3/p1r3qp/1p1b1kp1/5RR1/2pPB3/8/PP4QP/7K b - - 0 37,g6f5 g5f5 f6e6 d4d5 e6d7 g2g7,1890,74,95,10983,crushing interference long middlegame Rook Pawn Queen,https://lichess.org/1GBe7VrF/black#Some(73),,"['crushing', 'interference', 'middlegame', 'Rook', 'Pawn', 'Queen']",6,"['crushing', 'interference', 'middlegame', 'Rook', 'Pawn', 'Queen']"
0KpxW,r5k1/2p2p2/2P4p/p2bb1p1/4p3/P3B3/1P2BPP1/2R3K1 b - - 1 24,f7f5 c1c5 a8d8 c5d5 d8d5 e2c4,1960,76,95,5275,advantage endgame long pin sacrifice Rook Bishop,https://lichess.org/6HCqnfJb/black#Some(47),,"['advantage', 'endgame', 'pin', 'sacrifice', 'Rook', 'Bishop']",6,"['advantage', 'endgame', 'pin', 'sacrifice', 'Rook', 'Bishop']"
mHdKs,r1b2rk1/1p2bpp1/p2qpn1p/1P1p4/2nNP3/P1N3P1/2PBQPBP/R4RK1 b - - 0 15,d5e4 e2c4 a6b5 c3b5,2026,75,94,2642,advantage hangingPiece middlegame short Queen Knight,https://lichess.org/f9LauVx6/black#Some(29),Benoni_Defense Benoni_Defense_Benoni_Gambit_Accepted,"['advantage', 'hangingPiece', 'middlegame', 'Queen', 'Knight']",5,"['advantage', 'hangingPiece', 'middlegame', 'Queen', 'Knight']"
C8ftl,q1r5/1b2kppQ/p2p1b2/4p3/4P3/1P1B1P1P/P3N1P1/3R2K1 w - - 2 32,e2g3 c8h8 g3f5 e7d7 h7h8 a8h8,1941,75,93,4722,advantage defensiveMove long middlegame trappedPiece Rook King Queen,https://lichess.org/EakoHgSw#Some(62),,"['advantage', 'defensiveMove', 'middlegame', 'trappedPiece', 'Rook', 'King', 'Queen']",7,"['advantage', 'defensiveMove', 'middlegame', 'trappedPiece', 'Rook', 'King', 'Queen']"
3sWB6,2kr3r/P1pq1pp1/1pbp3p/1B6/P7/2P5/1B1N1nPP/R2Qb1K1 b - - 3 20,f2d1 b5a6 c6b7 a7a8q,1877,78,93,10981,advancedPawn mate mateIn2 middlegame pin promotion queensideAttack short Bishop Pawn,https://lichess.org/AFAJF5ds/black#Some(39),,"['advancedPawn', 'mateIn2', 'middlegame', 'pin', 'promotion', 'queensideAttack', 'Bishop', 'Pawn']",8,"['advancedPawn', 'mateIn2', 'middlegame', 'pin', 'promotion', 'queensideAttack', 'Bishop', 'Pawn']"
RJ3w5,r1q2rk1/2p1n1b1/p2p2pp/1P1Pp2n/4Pp2/1BN2N1b/1PPBQPP1/R4RK1 w - - 0 18,b5a6 c8g4 f3e1 f4f3 e2f3 f8f3,1932,75,95,2863,advantage long middlegame pin Queen Pawn Rook,https://lichess.org/xcTjcBj7#Some(34),Modern_Defense Modern_Defense_Other_variations,"['advantage', 'middlegame', 'pin', 'Queen', 'Pawn', 'Rook']",6,"['advantage', 'middlegame', 'pin', 'Queen', 'Pawn', 'Rook']"
xV2Zh,r4r1k/1ppq2p1/p2ppnQp/4p3/4P1PP/2PP4/PPKB4/5R1R b - - 0 24,d7f7 g6f7 f8f7 g4g5 a8f8 g5f6,1934,75,95,9405,advantage long middlegame Queen Pawn,https://lichess.org/Qt5Jzzn4/black#Some(47),,"['advantage', 'middlegame', 'Queen', 'Pawn']",4,"['advantage', 'middlegame', 'Queen', 'Pawn']"
w2zSA,8/1p6/1KbP4/2PkBp1p/5P1P/8/p7/8 b - - 1 42,d5e4 b6c7 e4d5 d6d7 c6d7 c7d7 a2a1q e5a1,2012,77,89,1473,advancedPawn bishopEndgame crushing endgame veryLong King Pawn Bishop,https://lichess.org/2KDEIs5g/black#Some(83),,"['advancedPawn', 'crushing', 'endgame', 'King', 'Pawn', 'Bishop']",6,"['advancedPawn', 'crushing', 'endgame', 'King', 'Pawn', 'Bishop']"
HdC26,3r4/r2NRpkp/6p1/8/7P/1p3P2/5KP1/3R4 w - - 0 34,e7f7 g7f7 d7e5 f7e8,1883,76,91,2140,advantage defensiveMove endgame hangingPiece short King,https://lichess.org/ICxcpRxg#Some(66),,"['advantage', 'defensiveMove', 'endgame', 'hangingPiece', 'King']",5,"['advantage', 'defensiveMove', 'endgame', 'hangingPiece', 'King']"
prGbh,8/7k/5Q2/8/2P3P1/p2P3P/q7/1r3RK1 w - - 3 35,f1b1 a2b1 g1f2 b1b2 f6b2 a3b2,1923,74,95,6660,advancedPawn crushing endgame exposedKing long Queen Pawn,https://lichess.org/09bPs0qy#Some(68),,"['advancedPawn', 'crushing', 'endgame', 'exposedKing', 'Queen', 'Pawn']",6,"['advancedPawn', 'crushing', 'endgame', 'exposedKing', 'Queen', 'Pawn']"
DC9P4,1R4rr/p1k5/2Bp1p2/2p1p2n/2P5/P2PB2q/5PP1/2Q2RK1 w - - 2 26,b8g8 h3h1 g1h1 h5g3 h1g1 g3e2,1944,75,90,2589,attraction doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice Queen Knight,https://lichess.org/sO9zRxfY#Some(50),,"['attraction', 'doubleCheck', 'kingsideAttack', 'mateIn3', 'middlegame', 'sacrifice', 'Queen', 'Knight']",8,"['attraction', 'doubleCheck', 'kingsideAttack', 'mateIn3', 'middlegame', 'sacrifice', 'Queen', 'Knight']"
